IMAGE 1	IMAGE 2	IMAGE 3
1	2	3
1	4	5
1	6	7
1	8	9
2	4	6
2	5	8
2	7	9
3	4	9
3	5	7
3	6	8
4	7	8
5	6	9
10	11	12
10	13	14
10	15	16
10	17	18
11	13	15
11	14	17
11	16	18
12	13	18
12	14	16
12	15	17
13	16	17
14	15	18
19	20	21
19	22	23
19	24	25
19	26	27
20	22	24
20	23	26
20	25	27
21	22	27
21	23	25
21	24	26
22	25	26
23	24	27
28	29	30
28	31	32
28	33	34
28	35	36
29	31	33
29	32	35
29	34	36
30	31	36
30	32	34
30	33	35
31	34	35
32	33	36
37	38	39
37	40	41
37	42	43
37	44	45
38	40	42
38	41	44
38	43	45
39	40	45
39	41	43
39	42	44
40	43	44
41	42	45
46	47	48
46	49	50
46	51	52
46	53	54
47	49	51
47	50	53
47	52	54
48	49	54
48	50	52
48	51	53
49	52	53
50	51	54
55	56	57
55	58	59
55	60	61
55	62	63
56	58	60
56	59	62
56	61	63
57	58	63
57	59	61
57	60	62
58	61	62
59	60	63
64	65	66
64	67	68
64	69	70
64	71	72
65	67	69
65	68	71
65	70	72
66	67	72
66	68	70
66	69	71
67	70	71
68	69	72
73	74	75
73	76	77
73	78	79
73	80	81
74	76	78
74	77	80
74	79	81
75	76	81
75	77	79
75	78	80
76	79	80
77	78	81
82	83	84
82	85	86
82	87	88
82	89	90
83	85	87
83	86	89
83	88	90
84	85	90
84	86	88
84	87	89
85	88	89
86	87	90
91	92	93
91	94	95
91	96	97
91	98	99
92	94	96
92	95	98
92	97	99
93	94	99
93	95	97
93	96	98
94	97	98
95	96	99
100	101	102
100	103	104
100	105	106
100	107	108
101	103	105
101	104	107
101	106	108
102	103	108
102	104	106
102	105	107
103	106	107
104	105	108
